Brand,Name,Location,Rating,Number of Ratings,Price
Jorge Ordóñez,"Jorge Ordóñez
No. 2 Victoria 2015","Málaga, Spain",4.3,531 ratings,29.99
Disznókó,"Disznókó
Tokaji Aszú 5 Puttonyos 2013","Tokaj, Hungary",4.3,306 ratings,50.99
Peller Estates,"Peller Estates
Vidal Icewine 2018","Niagara Peninsula, Canada",4.3,232 ratings,76.99
Château Climens,"Château Climens
Cyprès de Climens Barsac 2016","Barsac, France",4.3,140 ratings,51.99
Quady,"Quady
Electra Red (California Moscato) 2021","Madera, United States",4.3,34 ratings,13.64
Château Gravas,"Château Gravas
Sauternes 2016","Sauternes, France",4.2,403 ratings,45.99
Schloss Johannisberg,"Schloss Johannisberg
Grünlack Riesling Spätlese 2020","Rheingau, Germany",4.2,372 ratings,49.94
Château Suduiraut,"Château Suduiraut
Sauternes (Premier Grand Cru Classé) 2016","Sauternes, France",4.2,279 ratings,99.99
Disznókó,"Disznókó
Tokaji 1413 Édes Szamorodni 2018","Tokaj, Hungary",4.2,143 ratings,26.99
Château Roûmieu-Lacoste,"Château Roûmieu-Lacoste
Sauternes 2018","Sauternes, France",4.2,103 ratings,43.99
Domaine Huet,"Domaine Huet
Vouvray Clos du Bourg Moelleux Première Trie 2005","Vouvray, France",4.2,37 ratings,69.97
Domaine Casenobe,"Domaine Casenobe
Rivesaltes 1972","Rivesaltes, France",4.2,33 ratings,99.94
Château Doisy-Vedrines,"Château Doisy-Vedrines
Sauternes (Grand Cru Classé) 2016","Sauternes, France",4.1,396 ratings,56.99
Trimbach,"Trimbach
Gewurztraminer Alsace Vendanges Tardives 2011","Alsace, France",4.1,268 ratings,114.99
Clos Haut-Peyraguey,"Clos Haut-Peyraguey
Sauternes (Premier Grand Cru Classé) 2016","Sauternes, France",4.1,165 ratings,55.99
Château Suduiraut,"Château Suduiraut
Castelnau de Suduiraut Sauternes 2016","Sauternes, France",4.1,148 ratings,49.99
Quady,"Quady
Essensia Orange Muscat 2018","Madera, United States",4.1,54 ratings,23.49
Roumazeilles,"Roumazeilles
Château Haut-Mayne Sauternes 2019","Sauternes, France",4.1,52 ratings,25.99
Domaine La Tour Vieille,"Domaine La Tour Vieille
Rimage Banyuls 2018","Banyuls, France",4.1,43 ratings,33.99
Gini,"Gini
Renobilis Recioto di Soave 2008","Recioto di Soave, Italy",4.1,36 ratings,49.99
Château Rieussec,"Château Rieussec
Sauternes (Premier Grand Cru Classé) 2011","Sauternes, France",4.0,1019 ratings,119.99
